name,group,install,first_post_window,ti_died,days_in_field_at_death,ti_before,st_at_death,prior_episodes,posts_after_death,last_post,dark_days,id
70265861,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,98a4bf50-9e63-11f0-b5af-5dfa9891b485
75363927,All,?,2026-05-20,2026-05-20,?,?,10300,-1,3,2026-05-20,116,9940db50-5499-11f1-b1bb-f3574cce671d
72722426,All,?,2025-12-18,2026-04-05,?,159,10313,0,1,2026-04-05,161,9ac01600-dcb0-11f0-b691-d965a62fa4fa
65823547,All,?,2025-08-02,2025-12-17,?,149,10289,0,7,2026-01-20,236,9da6c800-cf6e-11ef-8f43-73c96c0de66f
72378142,All,?,2025-09-25,2026-05-22,?,256,16022,13,9,2026-05-24,112,9f444c90-9a2b-11f0-b5af-5dfa9891b485
72391889,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,a0b188b0-9e7f-11f0-b5af-5dfa9891b485
70258866,All,?,2025-10-14,2025-10-14,?,?,10185,-1,5,2025-10-14,334,a130edd0-a933-11f0-98a7-c3bc57f9afe3
72379793,All,?,2025-09-25,2026-06-13,?,272,16048,9,211,2026-06-16,89,a3a3d620-9a2b-11f0-b5af-5dfa9891b485
68618360,GenII Eng,?,?,?,?,?,?,0,0,10/16 13:00,697,a46b2400-633b-11ef-82e8-31b9269e53c6
72378282,All,?,2025-08-29,2026-06-22,?,209,362,1,2,2026-06-22,83,a5c65800-84e2-11f0-8b4a-0d0197d44616
72380817,All,?,2025-09-25,2026-07-07,?,296,362,4,338,2026-09-02,11,a89908a0-9a2e-11f0-b5af-5dfa9891b485
70261993,All,?,2025-09-30,2025-09-30,?,?,10185,-1,3,2025-09-30,348,ad908a80-9e62-11f0-b5af-5dfa9891b485
