serial,property,apartment,fwVer,fwVerTi,gain,up_ppk,dn_ppk,qual,tnormStddev
72390741,Virginia Beach,121,17037,344,35,937,969,100,275
70272388,Spruce Valley Condominiums,402,16185,314,40,936,946,100,77
72386798,Roosevelt MHC,155,16131,296,40,935,935,100,241
75362044,Cactus Flower,5,16185,314,30,934,962,100,53
70272545,La Comunidad MHC,32,16185,314,35,934,938,100,65
79454508,Grand Valley Estates MHC,116-SHENNADOH-DR,17037,344,29,934,889,100,28
65831474,The Oaks MHC,25,16131,296,40,933,995,100,461
72718507,Bishop 10th St Association,723108,16185,314,35,933,908,100,34
70258726,Kingsbrook MHC,616MI,16131,296,30,931,981,100,25
72384785,Ponderosa MHC,1,17037,344,29,931,951,100,75
70272917,Ontario Place MHC,79,17037,344,35,931,908,100,63
79461115,Shady Lane MHP,15 Maple Lane,17037,344,32,931,952,100,42
65824545,PW2,5215JOHN,16185,314,45,930,949,100,112
72383787,Virginia Beach,181,17037,344,35,930,919,100,35
70258650,2Freedom,26,17037,344,38,929,883,100,674
75362242,Sunview MHP,31,17037,344,35,929,888,100,54
75373520,Roosevelt MHC,117,16131,296,50,929,938,100,123
72381765,Ontario Place MHC,149,16185,314,35,929,956,100,45
79461099,Grand Valley Estates MHC,15-SONOMAVALLEY-DR,17037,344,32,929,986,100,108
72386863,Virginia Beach,28,17037,344,32,929,907,100,32
72385477,Kingsbrook MHC,204BE,16185,314,30,928,951,100,22
72380296,La Comunidad MHC,119,16185,314,30,928,936,100,87
72720347,Piney Park,31,16185,314,40,927,938,100,66
75372043,Lantana Trail,3612-7,16131,296,30,927,902,100,63
72720164,Oak Tree MHP,24,16130,296,35,927,911,100,46
70259195,Ontario Place MHC,4,16185,314,40,926,928,100,143
72713862,Eastwood Hills MHC,TR337,16131,296,40,926,902,100,63
75371789,Roosevelt MHC,77,17037,344,32,926,988,100,23
82377623,Virginia Beach,81,17037,344,26,924,968,100,27
75370054,Oak Forest Estate MHC,23,17037,344,29,923,888,100,84
72716022,Rusk MHC,25,17037,344,32,922,958,100,38
79454284,Paola MHC,1,17037,344,26,922,918,100,46
70273063,GenII Water Flow,NEW-1,17037,344,29,921,920,100,32
65831649,Green Grove Trailer Court MHC,5,16131,296,40,920,920,100,93
77061028,Kingsbrook MHC,758AS,16131,296,30,920,914,100,72
72387689,Rusk MHC,33,17037,344,41,920,943,100,56
72382979,Virginia Beach,83,17037,344,41,920,927,100,62
79462972,Oswego MHP,LOT23,16185,314,30,919,974,100,59
79464267,Virginia Beach,61,17037,344,26,918,890,100,31
72380247,La Comunidad MHC,60,16185,314,35,918,928,100,286
79467104,Heritage Apartments,D3,16131,296,35,918,911,100,63
65824842,Alta Vista MHC,54,16185,314,35,917,932,100,65
72383373,Parkview MHP,34,17037,344,29,917,905,100,238
72389933,Ponderosa MHC,56,17037,344,32,916,886,100,213
75369007,Grand Valley Estates MHC,5-DOUBLETREE-DR,17037,344,35,916,917,100,54
77055293,Kingsbrook MHC,776SU,16131,296,30,915,927,100,34
75371433,Grand Valley Estates MHC,19-AMOSVALLEY-DR,17037,344,26,915,952,100,93
79454037,Shady Lane MHP,58 Shady Lane,17028,341,26,915,905,100,30
79460554,Paola MHC,6,17037,344,26,914,895,100,77
72385576,Virginia Beach,214,17037,344,32,913,919,100,48
79455752,Shirlee's MHP,13,17032,344,26,913,907,100,30
75360568,Oaklawn Park HOA,3465SOC,16185,314,30,912,906,100,56
79466007,Shady Lane MHP,126 Shady Lane,17037,344,29,912,902,100,46
77060970,Aurora MHC,141D,16185,314,35,911,927,100,386
70270697,PW2,3231MARY,16185,314,25,911,922,100,120
72390808,Kingsbrook MHC,502ED,16131,296,25,911,963,100,59
72379397,Ontario Place MHC,138,16185,314,40,911,931,100,51
75370443,Big Country Mobile Home & RV Park,3507-C,16130,296,30,911,923,100,25
65822507,PW2,5213JOHN,16185,314,30,910,915,100,102
77055582,Holly Tree MHP,51,16185,314,20,910,899,100,392
79466866,Oswego MHP,LOT32,16185,314,30,910,933,100,36
72391541,Backwater MHC,41,17037,344,29,910,931,100,35
75361350,Estancia MHP,85,16185,314,40,909,938,100,302
75361764,Oaklawn Park HOA,3461SOC,16185,314,30,909,949,100,397
75361434,Roosevelt MHC,120,16131,296,45,909,930,100,377
72723952,Roosevelt MHC,146,16131,296,40,908,949,100,80
65824107,Green Grove Trailer Court MHC,33,16131,296,35,907,942,100,53
72388901,Lafountaine MHC,116ND,16131,296,20,907,893,100,33
70262777,Virginia Beach,249,17037,344,32,907,879,100,36
72721915,Kay Bee Mobile Villa MHP,37,16131,296,40,906,925,100,45
75369403,Big Country Mobile Home & RV Park,3503-C,17037,344,26,906,916,100,31
75364875,Heritage Apartments,B3,16131,296,50,905,933,100,117
75368520,Grand Valley Estates MHC,28-IMPERIALVALLEY-DR,17037,344,29,905,865,100,255
75368835,Virginia Beach,245,17037,344,26,905,928,100,34
75370633,Shelby's Trailer Park,LOT22,16131,296,25,904,883,100,31
79462915,Backcountry MHC,28,17037,344,26,904,926,100,77
70267479,Kingsbrook MHC,617FE,16131,296,40,903,851,100,69
75372118,Roosevelt MHC,44,16185,314,30,902,895,100,38
75372290,Grand Valley Estates MHC,9-LEHIGHVALLEY-DR,17037,344,26,902,932,100,248
77053827,Oak Forest Estate MHC,33,17037,344,26,901,939,100,119
70266422,Backwater MHC,34,17032,344,32,901,928,100,24
75362135,Roosevelt MHC,60,16185,314,50,901,891,100,186
79462261,Grand Valley Estates MHC,24-IMPERIALVALLEY-DR,17037,344,26,899,928,100,65
72384561,La Comunidad MHC,112,16185,314,40,899,918,100,112
75368199,Noble Estates MHC,513,16131,296,25,899,904,100,28
79455992,Grand Valley Estates MHC,39-GRANDVALLEY-DR,17037,344,26,899,916,100,156
65825062,Virginia Beach,197,17037,344,35,899,939,100,46
72717350,Azulejo,1104,16131,296,30,898,871,100,821
72720925,Crystal Acres MHC,35,17032,344,41,898,871,100,86
77058974,High Street,110,16131,296,40,898,900,100,77
72382375,Virginia Beach,89,17037,344,26,898,894,100,38
72720313,Hillview MHC,3,16131,296,35,897,877,100,86
72718515,8 OnElaine,2314-1101,16131,296,35,897,852,100,139
72392622,Westview Mobile Estates MHC,32,17037,344,32,897,883,100,118
79462931,Grand Valley Estates MHC,30-DOUBLETREE-DR,17037,344,32,897,943,100,128
75362184,Holly Tree MHP,40,16185,314,30,897,885,100,229
72392283,Virginia Beach,210,17037,344,35,897,912,100,41
70272727,Carolina Springs MHP,CSP110-1765-GILMOREST,16131,296,25,895,891,100,25
70269384,La Comunidad MHC,139,16185,314,25,895,916,100,72
70269608,Pelican Shores North HOA,12612,17028,341,44,895,896,100,114
79464507,Virginia Beach,110,17037,344,26,895,901,100,31
70269863,Green Grove Trailer Court MHC,4,16131,296,40,894,907,100,49
70265069,Rustic Acres MHC,27,17037,344,35,894,908,100,56
75373710,Highlands MHC,10A,17037,344,38,893,957,100,2106
79465488,The O in La Marque,20,16185,314,45,892,930,100,102
79463541,Kay Lou MHC,2618-I,16131,296,35,892,848,100,58
70259351,Ontario Place MHC,151,16185,314,30,891,891,100,40
72390998,Oak Forest Estate MHC,29,17037,344,29,891,868,100,2311
70264310,Hoosier Park MHC,15,17032,344,50,891,905,100,180
72387655,Stafford MHC,522,17037,344,41,890,905,100,204
79460422,Kay Lou MHC,2512-I,17032,344,35,890,923,100,95
70273360,Coleman Village,183,16185,314,30,889,857,100,130
75374320,Oswego MHP,LOT22,17037,344,26,888,905,100,59
70263536,CJ,127,16131,296,40,887,896,100,75
75369437,Stafford MHC,566,16185,315,40,887,905,100,67
72719588,Backwater MHC,1,17032,344,29,886,898,100,25
70268303,Country Squire MHC,62A,16185,314,30,886,845,100,73
75360139,Grand Valley Estates MHC,16-AMOSVALLEY-DR,17037,344,26,886,924,100,75
75364677,Roosevelt MHC,99,16131,296,35,886,827,100,125
77041780,W Poplar St Triplex,1,16185,314,35,885,879,100,42
70259146,Green Grove Trailer Court MHC,28,16131,296,35,885,899,100,42
75367555,Roosevelt MHC,78,16131,296,45,885,952,100,303
72714803,Oaklawn Park HOA,3324SOC,16185,314,30,885,885,100,147
72715529,North Ewing Townhomes,204,16185,314,50,885,880,100,244
70265655,Carolina Springs MHP,CSP123-385-RIVERBASINCT,17037,344,29,884,881,100,220
79462576,Noble Estates MHC,521,17037,344,26,884,928,100,96
72381385,Rustic Acres MHC,64,16185,314,45,883,905,100,99
70268550,Coleman Village,103,16185,314,30,882,885,100,69
75370690,Coleman Village MHC,175,16128,295,55,882,885,100,202
75360899,Broken Arrow MHP,6117-198TH-ST,16131,296,35,882,903,100,25
72715792,Hillview MHC,2A,16131,296,35,881,880,100,58
70265606,Whispering Pines Mobile Estates,513,16185,314,30,881,830,100,831
65827621,Parkview MHP,6,17037,344,32,881,908,100,59
75368785,Grand Valley Estates MHC,18-HERITAGEVALLEY-DR,17037,344,26,880,890,100,45
70262181,Ontario Place MHC,61,17037,344,32,880,802,100,76
79464556,Grand Valley Estates MHC,9-BONEVALLEY-DR,17037,344,26,880,909,100,169
72722152,Virginia Beach,74,17037,344,26,880,902,100,43
75368793,The O in La Marque,11,16185,314,35,879,885,100,356
72380304,Hoosier Park MHC,11AB-MISSINGMETER,17037,344,38,879,880,100,304
72389727,Virginia Beach,127,17037,344,35,878,866,100,48
75363307,Noble Estates MHC,565,17032,344,29,877,879,100,65
77055426,Kingsbrook MHC,703GR,16131,296,45,876,910,100,104
65826433,Kingsbrook MHC,809OA,16185,314,25,876,842,100,42
75367803,Heritage Apartments,E3,16131,296,45,876,907,100,87
75364248,Big Country Mobile Home & RV Park,3603-C,17037,344,26,875,851,100,46
70271331,PW2,5207JUSTIN,16185,314,30,875,881,100,105
75364487,Oak Forest Estate MHC,26,17037,344,29,875,876,100,58
70272966,Chickadee Lane MHC,820C,16185,314,35,874,887,100,48
72385972,Ponderosa MHC,66,17037,344,38,873,879,100,60
72378589,Roosevelt MHC,152,16131,296,35,873,897,100,220
72390972,Virginia Beach,49,17037,344,26,873,890,100,23
79461834,Stafford MHC,286,17037,344,29,872,914,100,29
75362804,Shelby's Trailer Park,LOT27,16131,296,45,871,865,100,146
79461222,Holly Tree MHP,86,16185,314,25,871,861,100,120
70260698,Aurora MHC,196,16131,296,25,870,884,100,26
75370609,Kay Lou MHC,2514-I,16131,296,50,870,873,100,126
75362713,Virginia Beach,243,17037,344,26,869,805,100,44
79455935,Grand Valley Estates MHC,50-GRANDVALLEY-DR,17037,344,29,869,876,100,89
72385816,Virginia Beach,94,17037,344,38,869,874,100,100
70268808,Arizona Manor,13,16185,314,35,868,843,100,63
75361095,Shelby's Trailer Park,LOT04,17037,344,26,868,903,100,104
70260797,Ontario Place MHC,129,17037,344,26,868,856,100,30
77060343,Riverview Apartments MF,31,17037,344,29,867,802,100,38
72387499,Backwater MHC,17,17032,344,26,867,842,100,25
72721345,Kachina,4,16185,314,45,867,855,100,86
72378191,Virginia Beach,37,17037,344,26,867,889,100,43
72385097,Virginia Beach,211,17037,325,40,867,860,100,63
72723895,Hillview MHC,27,16185,314,35,866,888,100,47
72381914,Rustic Acres MHC,39,17037,344,29,866,865,100,61
77058099,Parkview MHP,C56,16185,314,40,866,906,100,74
75363695,Pleasant Acres,19,16185,314,30,866,906,100,30
70263957,PW2,3117CINDY,16185,314,30,865,908,100,41
75364388,Oswego MHP,LOT01,16185,314,45,864,903,100,83
72723705,Parker MHC,15,16185,314,25,864,891,100,37
72716253,Riverview Apartments MF,14,17037,344,38,864,869,100,73
75370922,Roosevelt MHC,139,16131,296,35,864,881,100,79
75366144,Grand Valley Estates MHC,8-HERITAGEVALLEY-DR,17037,344,29,864,917,100,172
72720685,Eastwood Hills MHC,EH45,16185,314,30,864,873,100,37
72392143,Virginia Beach,50,17037,344,26,864,880,100,34
77054437,Alta Vista MHC,43,16131,296,30,863,840,100,52
77054114,Piney Park,D,17037,344,32,863,901,100,49
72387374,Backwater MHC,14,17037,344,41,863,890,100,70
72719117,Noble Estates MHC,510,17037,344,35,863,876,100,69
72716196,Spruce Valley Condominiums,307,16185,314,45,862,868,100,99
75366417,Johnson's Trailer Park,5,17037,344,38,862,891,100,65
75367019,Grand Valley Estates MHC,4-SHENNADOH-DR,17037,344,26,862,869,100,143
72389974,Ontario Place MHC,97,16185,314,30,862,848,100,46
75372985,Roosevelt MHC,118,16131,296,35,862,845,100,46
72713920,Spruce Valley Condominiums,309,16185,314,50,861,828,100,473
75372811,Grand Valley Estates MHC,34-IMPERIALVALLEY-DR,17037,344,29,861,834,100,108
75374346,Sunview MHP,9,17037,344,44,861,869,100,147
72382672,Green Grove Trailer Court MHC,10,16131,296,40,860,841,100,43
72391194,Flower Mound,22,17037,344,44,860,918,100,271
70262348,Rustic Acres MHC,12,16185,314,35,859,822,100,50
72390535,La Comunidad MHC,64,16185,314,40,859,885,100,2182
72717012,Kay Bee Mobile Villa MHP,20,16131,296,30,859,849,100,44
75361509,Noble Estates MHC,538,17037,344,32,859,847,100,31
65829312,Virginia Beach,145,17037,344,55,859,838,100,212
72391640,Crystal Acres MHC,28,17032,344,32,859,864,100,41
79459267,Oswego MHP,LOT06,16185,314,30,858,860,100,118
70272735,Country Squire MHC,58A,16185,314,30,858,868,100,49
72721212,North Ewing Townhomes,106,16185,314,40,858,847,100,92
70262272,Rustic Acres MHC,49,17037,344,29,857,923,100,78
75365880,CJ,132 exclude tenant,16131,296,40,857,874,100,84
75368389,Auburn MHC,25,17037,344,35,857,857,100,40
79460596,Lake Charles Duplexes,874A,16131,296,55,856,819,100,292
72384124,La Comunidad MHC,149,17037,344,32,856,894,100,239
72717046,Kay Bee Mobile Villa MHP,70,16131,296,40,856,921,100,55
79454722,Put In Bay Condos,105-205,16131,296,25,856,902,100,32
72723465,Shelby's Trailer Park,LOT18,16131,296,35,855,829,100,56
70271364,PW2,3114CHARI,16185,314,30,855,915,100,73
70261613,Sunview MHP,30,17037,344,38,855,860,100,195
79465272,The O in La Marque,5,16185,314,30,855,880,100,70
75370815,Grand Valley Estates MHC,9-AMOSVALLEY-DR,17037,344,35,855,829,100,163
75363190,Grand Valley Estates MHC,17-AMOSVALLEY-DR,17037,344,32,855,886,100,73
70261944,Green Grove Trailer Court MHC,24,16131,296,35,854,873,100,51
72390618,Westview Mobile Estates MHC,12,17037,344,26,854,895,100,42
70273030,Ontario Place MHC,90,16185,314,35,854,873,100,79
70259864,East Barre MHP,3,16185,314,45,854,816,100,373
72383860,Virginia Beach,167,17037,344,26,854,895,100,31
77060442,Kingsbrook MHC,201BE,16131,296,30,853,868,100,46
79461990,Virginia Beach,154,17037,344,29,853,859,100,34
72724133,Big Country Mobile Home & RV Park,3610-C,16131,296,40,853,848,100,178
72715933,Wildwood Village MHC,4,16185,314,55,853,865,100,284
72714720,Eastwood Hills MHC,EH60,17037,344,41,852,928,100,69
70267578,Piney Park,47,16185,314,40,852,848,100,67
72384777,Country Squire MHC,6B,16185,314,35,852,850,100,72
75367308,Mountaineer Village MHC,38,17037,344,41,852,824,100,86
75366029,Shady Lane MHP,148 Shady Lane,17037,344,26,852,853,100,28
72718234,Crystal Acres MHC,37,17032,344,38,851,868,100,50
75372167,Estancia MHP,7,17037,344,35,851,848,100,67
75364891,Haven MHP,13,16131,296,35,851,862,100,44
77053454,Coleman Village MHC,134,16185,314,40,849,843,100,104
72386087,Stafford MHC,117,16185,314,35,849,834,100,60
72391079,Country Squire MHC,59A,16185,314,50,848,813,100,273
75364206,Pleasant Acres,13,16131,296,30,848,890,100,46
75363901,Shady Lane MHP,75 Shady Lane,17037,344,26,848,851,100,17
72381971,Ontario Place MHC,57,17037,344,38,847,834,100,88
72718564,Wildwood Estates MHC,15,16185,314,45,847,816,100,157
75360600,Roosevelt MHC,45,17037,344,32,847,843,100,40
75364099,Noble Estates MHC,541,16185,314,25,846,823,100,49
72383241,Virginia Beach,182,17037,344,35,845,857,100,45
65824982,Forest at Sherman MHC,61,17037,344,35,844,839,100,61
77054155,Piney Park,63,16185,314,40,843,858,100,190
70266463,Grand Central MHP,24,16185,314,45,843,841,100,121
72384819,Chickadee Lane MHC,806-CHICKADEE,16185,314,30,841,853,100,38
68612751,Piney Park,54,16185,314,30,840,821,100,99
72719869,Spruce Valley Condominiums,312,16185,314,50,840,849,100,279
77057364,Holly Tree MHP,23,16185,314,20,840,852,100,52
72722228,Hillview MHC,16,16131,296,45,840,827,100,117
72715107,Backwater MHC,37,17032,344,29,840,838,100,27
72378761,Parkway MHC,15,17032,344,38,839,839,100,63
75366318,The O in La Marque,15,16185,314,25,839,869,100,321
75374643,Roosevelt MHC,88,16131,296,30,839,837,100,35
72722061,Kay Bee Mobile Villa MHP,76,16131,296,40,838,840,100,60
65830740,Parkview MHP,76,17037,344,32,838,993,100,183
79466635,Auburn MHC,1,17037,344,35,838,836,100,54
68588225,Parker MHC,38,16185,314,25,837,817,100,59
79462741,Rustic Acres MHC,61,17037,344,26,837,846,100,55
72380437,Chickadee Lane MHC,811C,16185,314,25,837,814,100,54
72714209,Kay Bee Mobile Villa MHP,7,16131,296,30,837,839,100,68
79454755,Kay Lou MHC,707-T,16131,296,30,834,839,100,49
75370963,Grand Valley Estates MHC,20-IMPERIALVALLEY-DR,17037,344,26,834,882,100,71
75368397,Shady Lane MHP,168 Shady Lane,17028,341,38,834,847,100,83
72718051,Spruce Valley Condominiums,403,16185,314,45,833,813,100,116
72383597,Ontario Place MHC,29,17037,344,41,833,815,100,82
79467435,Shirlee's MHP,12,17032,344,41,833,805,100,58
72385717,Virginia Beach,27,17037,344,32,833,869,100,171
70261126,Kingsbrook MHC,501ED,16131,296,25,832,795,100,54
72380544,La Comunidad MHC,146,16185,314,35,831,839,100,41
75361319,Circle N Trailer Park,7,17037,344,38,831,853,100,65
65823299,Parkview MHP,1,16185,314,45,831,849,100,135
72722293,Spruce Valley Condominiums,405,16185,314,40,830,849,100,375
75365492,Lantana Trail,3612-3,16185,314,35,830,769,100,74
72379744,Virginia Beach,203,17037,344,32,830,821,100,39
72383589,Kay Lou MHC,707-K,16131,296,45,828,824,100,122
75373025,Needham MHP,13,16131,296,35,827,823,100,56
72379843,Virginia Beach,57,17037,344,38,827,838,100,60
79457683,Grand Valley Estates MHC,19-SONOMAVALLEY-DR,17037,344,26,826,833,100,101
79455794,Grand Valley Estates MHC,1-IMPERIALVALLEY-DR,17037,344,26,826,796,100,74
75365062,Oaklawn Park HOA,2626EOC,16185,314,30,826,838,100,353
72387242,Sunview MHP,8,17037,344,41,826,860,100,86
72718077,Lantana Trail,3618-1,16185,314,30,825,831,100,3417
75366110,Heritage Apartments,D6,16131,296,35,825,799,100,54
77054601,Piney Park,65,16185,314,30,824,817,100,49
72721279,Kay Bee Mobile Villa MHP,6,16131,296,30,824,855,100,109
72381500,Ontario Place MHC,22,16185,314,35,823,864,100,64
70266513,Ontario Place MHC,69,16185,314,40,823,775,100,244
79462949,Haven MHP,5,16131,296,35,823,887,100,34
77055772,Kingsbrook MHC,2603T,16131,296,20,822,822,100,26
70266869,Freedom MHP,22,16131,296,40,821,846,100,63
75369171,Heritage Apartments,A5,16131,296,40,821,957,100,73
75361277,Big Country Mobile Home & RV Park,3610-E,17037,344,32,821,762,100,77
77053983,Kingsbrook MHC,784FA,16185,314,45,820,825,100,190
72390733,Oak Forest Estate MHC,25,17037,344,35,819,797,100,73
72723697,Roosevelt MHC,13,16131,296,45,819,859,100,232
75363406,Wildwood Village MHC,27,16185,314,40,819,834,100,69
75362481,Kay Lou MHC,2608-M,16131,296,45,819,831,100,91
72391129,Ontario Place MHC,56,17037,344,38,818,818,100,202
70266182,La Comunidad MHC,133,16185,314,35,818,807,100,51
79460992,Kay Bee Mobile Villa MHP,58,16185,314,25,817,810,100,130
75367670,Broken Arrow MHP,6123-198TH-ST,17032,344,32,817,845,100,69
75361566,Southern Cross MHC,8,16185,314,30,816,822,100,39
72381849,Ontario Place MHC,60,16185,314,25,816,813,100,134
72716972,Eastwood Hills MHC,EH51,16185,314,35,816,778,100,50
72715495,Bishop 10th St Association,723104,16185,314,35,816,829,100,60
70265481,Parkview MHP,71,16130,296,40,815,808,100,99
75364974,Oaklawn Park HOA,2636EOD,16185,314,35,815,825,100,48
65826771,Virginia Beach,80,17037,344,32,815,798,100,40
72382169,Virginia Beach,62,17037,344,26,815,810,100,52
72713912,Shelby's Trailer Park,LOT09,16131,296,30,814,875,100,28
72716956,Crystal Acres MHC,33,17032,344,44,813,833,100,113
72383910,La Comunidad MHC,98,16185,314,45,813,813,100,97
72720479,Wildwood Estates MHC,19,16185,314,35,813,824,100,216
72383035,Virginia Beach,79,17037,344,44,813,829,100,60
77053561,Parkview MHP,63,16185,314,35,812,819,100,63
70270408,Oak Tree GenII,9,16131,296,20,812,810,100,119
70260276,Roosevelt MHC,132,16131,296,25,812,815,100,23
72720115,Kingsbrook MHC,312CA,16131,296,40,812,799,100,72
77052035,Parkview MHP,B27,17037,344,44,812,830,100,134
75367530,Shelby's Trailer Park,LOT31,16131,296,40,811,804,100,130
70260045,Arizona Manor,7,16185,314,25,811,811,100,37
79454292,Stafford MHC,239,17037,344,41,811,793,100,131
77058537,Kingsbrook MHC,704GR,16131,296,20,810,811,100,118
70260524,Forest at Sherman MHC,97,16185,314,25,810,811,100,59
77056978,Canada,LVC7,16185,314,25,810,803,100,54
72379223,Dorr Drive MHP,8,16185,314,40,810,836,100,236
75369387,Pleasant Acres,15,16131,296,25,810,800,100,29
72378258,Virginia Beach,156,17037,344,26,809,806,100,60
72378852,La Comunidad MHC,26,16185,314,30,809,836,100,100
72723309,Kay Bee Mobile Villa MHP,43,16131,296,25,809,811,100,211
65825146,Parkview MHP,E79,17037,344,41,809,838,100,53
75365070,Big Country Mobile Home & RV Park,3601-B,16185,314,35,809,816,100,38
77041889,Holly Tree MHP,43,16185,314,20,808,794,100,215
70263106,Sunview MHP,25,17037,344,38,808,814,100,63
72388810,Trans Canada,E19TC,16185,314,25,808,905,100,109
72390691,Virginia Beach,33,17037,344,29,808,796,100,35
79463038,Auburn MHC,19,17037,344,35,808,844,100,51
77057646,Lafountaine MHC,100BS,16131,296,30,807,827,100,55
79464739,Oswego MHP,LOT03,16185,314,45,807,844,100,104
72721105,Parker MHC,27,16185,314,35,807,791,100,74
77058610,Holly Tree MHP,17,17037,344,44,806,817,100,81
77058917,Ontario Place MHC,152,16185,314,35,806,865,100,64
75374023,Roosevelt MHC,21,16131,296,25,806,800,100,33
77041707,Carolina Springs MHP,CSP103-1753-GILMOREST,17037,344,26,805,848,100,35
77028548,Chickadee Lane MHC,805T,16185,314,30,805,850,100,71
75365989,The O in La Marque,1,16185,314,30,805,815,100,61
72385022,Stafford MHC,146,16131,296,40,805,796,100,91
79466643,Kingsbrook MHC,801HU,16131,296,35,805,785,100,55
72718341,Ponderosa MHC,6,17037,344,41,804,819,100,285
72717905,North Ewing Townhomes,201,16185,314,50,804,791,100,223
72390048,Virginia Beach,87,17037,344,32,804,714,100,51
79461255,Shirlee's MHP,8,17032,344,44,804,847,100,136
65829270,Forest at Sherman MHC,58,16185,314,35,803,814,100,61
75369379,Kay Lou MHC,2520-I,16131,296,35,803,790,100,74
72716261,Alta Vista MHC,57,16185,314,35,803,803,100,56
75369775,Big Country Mobile Home & RV Park,3604-E,16130,296,25,802,782,100,46
79463590,Auburn MHC,24,17037,344,32,802,804,100,45
72723408,Country Edge MHC,4061-2,16131,296,35,801,812,100,63
65822432,Taylor St Triplex,2,16185,314,30,801,807,100,29
72723267,Spruce Valley Condominiums,310,16185,314,45,801,820,100,243
70269574,Virginia Beach,232,17037,344,26,801,797,100,41
72378308,La Comunidad MHC,55,16185,314,45,799,803,100,147
72380494,La Comunidad MHC,142,16185,314,30,799,790,100,57
77029595,Chickadee Lane MHC,834,16185,314,30,798,794,100,54
70265432,Ontario Place MHC,71,16185,314,30,798,784,100,50
72386764,Canada,E15TC,16185,314,40,797,759,100,73
70262355,Whispering Pines Mobile Estates,802,16185,314,25,797,819,100,75
70271703,Wildwood Village MHC,21,16185,314,45,797,760,100,101
72717038,Eastwood Hills MHC,EH11,16185,314,40,797,818,100,114
72391236,La Comunidad MHC,65,16185,314,35,796,739,100,578
72387366,Rustic Acres MHC,36,16185,314,30,796,781,100,55
70262538,Ontario Place MHC,84,16185,314,30,796,821,100,33
79460646,Grand Valley Estates MHC,29-DOUBLETREE-DR,17037,344,29,796,821,100,102
72720727,Spruce Valley Condominiums,305,16185,314,30,795,833,100,55
70266356,Country Squire MHC,54B,16185,314,45,795,856,100,203
70271489,Coleman Village,101,16185,314,35,795,805,100,89
70265887,Ibiza Village2,9,17028,343,53,795,802,100,227
72380536,Highland Terrace,45,16185,314,35,795,794,100,69
75361210,Willapa Shores,6,17028,341,26,795,800,100,47
72380197,Virginia Beach,186,17037,344,44,795,801,100,83
65827290,PW2,5203JOHN,16185,314,35,794,779,100,84
70270333,PW2,3111LINDA,16185,314,35,794,777,100,157
72717566,Bishop 10th St Association,723107,16185,314,30,794,765,100,58
77053819,Big Country Mobile Home & RV Park,3507-A,17037,344,41,794,787,100,211
72381443,Carolina Springs MHP,CSP12-1778-GIBSONST,16131,296,25,793,778,100,54
70270101,Country Squire MHC,17,16185,314,40,793,802,100,78
70265085,Kay Bee Mobile Villa MHP,74,16185,314,55,793,776,100,303
70271679,Parker MHC,14,16185,314,40,793,795,100,93
70271687,Wildwood Estates MHC,44,16185,314,30,792,790,100,32
72717251,Spruce Valley Condominiums,409,16185,314,40,792,787,100,88
65826805,Oakwood MHP,100,16185,314,35,791,791,100,62
72716444,Piney Park,67,16185,314,25,791,797,100,168
70273410,Kingsbrook MHC,666AS,16131,296,25,791,823,100,32
75361541,Estancia MHP,63,16185,314,25,791,814,100,32
75369148,Lakeview MHC,20,362,209,18,791,488,100,
65829544,Wildwood Village MHC,7,16185,314,30,790,792,100,52
79463483,Backcountry MHC,19,16185,314,20,790,761,100,61
75369239,Grand Valley Estates MHC,28-DOUBLETREE-CT,17037,344,26,790,779,100,73
72392069,Crystal Acres MHC,27,17037,344,26,790,797,100,34
70260318,La Comunidad MHC,92,16185,314,30,790,785,100,91
77052282,Chickadee Lane MHC,810M,16185,314,25,789,781,100,30
75360287,Estancia MHP,40,16185,314,35,789,818,100,85
72391814,Holly Tree MHP,27,17037,344,38,788,723,100,60
77029439,Fowler Apts MF,701,16185,314,55,787,797,100,237
70271539,Coleman Village,114,16185,314,35,786,818,100,140
72390980,Ponderosa MHC,63,17037,344,26,786,804,100,115
72384165,La Comunidad MHC,121,16185,314,35,786,771,100,132
75363364,Lakeview MHC,11,16185,314,30,786,773,100,46
72717814,Pace East,88,16131,296,55,784,848,100,373
72719307,Little Acres MHC,8,17037,344,26,784,820,100,59
72385485,Crystal Acres MHC,42,17032,344,29,784,734,100,30
75361822,Broken Arrow MHP,6103-197TH-ST,16131,296,30,784,801,100,32
70269277,La Comunidad MHC,79,16185,314,35,783,777,100,62
72718408,Spruce Valley Condominiums,304,16185,314,45,783,770,100,166
72382573,Virginia Beach,73,17037,344,29,783,767,100,41
72721790,Spruce Valley Condominiums,301,16185,314,45,783,784,100,129
72716139,Spruce Valley Condominiums,407,16185,314,45,782,774,100,304
72378597,Parkview MHP,69,17037,344,26,782,775,100,42
65831250,Parkview MHP,C37,16185,314,25,782,767,100,137
79466361,Heritage Apartments,A8,16131,296,25,782,846,100,55
72384322,Virginia Beach,42,17037,344,41,782,769,100,85
77041376,Parkway MHC,37,17032,344,44,781,787,100,857
77029314,Holly Tree MHP,71,16185,314,35,781,800,100,73
79460505,The O in La Marque,12,17037,344,32,781,798,100,42
77060897,Oak Forest Estate MHC,35,17037,344,26,780,785,100,267
77053462,Canada,LVB6,16185,314,35,780,812,100,241
75361426,Highlands MHC,15,16185,314,30,780,768,100,95
